time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837023.29976511,0.02395827,0.00237553,0.00000466,69934.00000000,0.01637378,0.000000,0.000000
1577837023.39962006,0.02393166,0.00219240,0.00000354,69940.00000000,0.01232938,0.000000,0.000000
1577837023.49945021,0.02392589,0.00266906,0.00000597,69949.00000000,0.02140378,0.000000,0.000000
1577837023.59929705,0.02391360,0.00278353,0.00000466,69948.00000000,0.01852929,0.000000,0.000000
1577837023.69994497,0.02390109,0.00322628,0.00000497,69967.00000000,0.01840922,0.000000,0.000000
1577837023.79978704,0.02393316,0.00572102,0.00000879,70008.00000000,0.03804502,0.000000,0.000000
1577837023.89962006,0.02393358,0.00436088,0.00000428,70101.00000000,0.02411965,0.000000,0.000000
1577837023.99944186,0.02393741,0.00475776,0.00000419,70134.00000000,0.02562955,0.000000,0.000000
1577837024.09966683,0.02394833,0.00592362,0.00000522,70274.00000000,0.02878435,0.000000,0.000000
1577837024.19952011,0.02394489,0.00552450,0.00000316,70349.00000000,0.02241931,0.000000,0.000000
1577837024.29935479,0.02396444,0.00652427,0.00000473,70557.00000000,0.03266483,0.000000,0.000000
1577837024.39997220,0.02396456,0.00581475,0.00000331,70696.00000000,0.02401620,0.000000,0.000000
1577837024.49980807,0.02398523,0.00817494,0.00000430,70872.00000000,0.03322407,0.000000,0.000000
1577837024.59964204,0.02398033,0.00550740,0.00000304,70543.00000000,0.02178810,0.000000,0.000000
1577837024.69947696,0.02399177,0.00643088,0.00000444,70720.00000000,0.02912803,0.000000,0.000000
1577837024.79931593,0.02400036,0.00575210,0.00000401,70920.00000000,0.02786401,0.000000,0.000000
1577837024.89996290,0.02399882,0.00597763,0.00000365,70942.00000000,0.02330650,0.000000,0.000000
1577837024.99980283,0.02402134,0.00564098,0.00000566,71009.00000000,0.03420101,0.000000,0.000000
1577837025.09964395,0.02401095,0.00433943,0.00000315,71053.00000000,0.01929996,0.000000,0.000000
1577837025.19949198,0.02400318,0.00466943,0.00000340,71133.00000000,0.02047631,0.000000,0.000000
1577837025.29932117,0.02402251,0.00566692,0.00000545,71189.00000000,0.03282050,0.000000,0.000000
1577837025.39995599,0.02402173,0.00408168,0.00000383,71193.00000000,0.02366436,0.000000,0.000000
1577837025.49979496,0.02400877,0.00392318,0.00000301,71222.00000000,0.01808747,0.000000,0.000000
1577837025.59963608,0.02402853,0.00593470,0.00000515,71243.00000000,0.03307945,0.000000,0.000000
1577837025.69946504,0.02402459,0.00487807,0.00000312,71314.00000000,0.02221237,0.000000,0.000000
1577837025.79929805,0.02403292,0.00625335,0.00000380,71525.00000000,0.02786516,0.000000,0.000000
1577837025.89993286,0.02405059,0.00893509,0.00000399,71848.00000000,0.03219817,0.000000,0.000000
1577837025.99978280,0.02407222,0.00752832,0.00000497,72347.00000000,0.03406362,0.000000,0.000000
1577837026.09962392,0.02408867,0.00616855,0.00000400,72775.00000000,0.03170635,0.000000,0.000000
1577837026.19946909,0.02408425,0.00646432,0.00000284,73138.00000000,0.02203385,0.000000,0.000000
1577837026.29928899,0.02409337,0.00622942,0.00000381,73407.00000000,0.02833555,0.000000,0.000000
